,Number,Title,Overview,Genres
5461,5462,Doraemon: Nobita's Treasure Island,doraemon nobita shizuka gian suneo set adventure caribbean sea nobita captain ship fight enemies board shizuka get kidnap storm impede journey mini dora help nobita friends journey adventurers finally find mysterious treasure island discover ordinary island,Animation
5462,5463,Urusei Yatsura: Always My Darling,lupika alien princess love tofu seller make love least announce love obviously fear social taboo tofu vendor marry princess need get love potion certain temple legend person obtain love potion lecherous man universe man turn ataru moroboshi lupika kidnap ataru make get potion lum friends go search ataru,Action
5463,5464,A Nightmare on Elm Street: The Dream Child,alice survive previous installment nightmare series find deadly dream freddy krueger start time taunt murderer strike sleep mind alice unborn child intention bear real world one stop freddy dead mother alice free spirit time save son,Horror
5464,5465,Asterix & Obelix: Mission Cleopatra,egyptian queen cleopatra bet roman emperor julius caesar people still great even time pharaohs long pass vow logic build new palace caesar within three months since architects either busy otherwise conservative style ambivalent honor fall edifis build palace cover gold fate eat crocodiles edifis call upon old friend help fabulous druid getafix gaul brew fantastic potion give supernatural strength order help protect old druid asterix obelix accompany journey egypt julius caesar get wind project succeed build site attack troop order win bet lose face like local pirate count asterix obelix,Family
5465,5466,Rock Star,wannabe rock star front pennsylvania base tribute band devastate kick group found things begin look izzy ask join steel dragon heavy metal rockers imitate long film loosely base true story band judas priest,Music
5466,5467,Elf,young buddy fall santa gift sack christmas eve transport back north pole raise toy make elf santa helpers grow adulthood shake nag feel belong buddy vow visit manhattan find real dad workaholic publisher,Comedy
5467,5468,25th Hour,new york city days follow events monty brogan convict drug dealer start seven year prison sentence final hours freedom devote hang closest buddies try prepare girlfriend extend absence,Crime
5468,5469,V/H/S: Viral,viral segment include story derange illusionist obtain magical object great power homemade machine open door parallel world teenage skaters unwillingly become target mexican death cult ritual sinister shadowy organization track serial killer segment tie together story group fame obsess teens follow violent car chase la unwittingly become star next internet sensation,Horror
5469,5470,Juice,four harlem friends bishop steel raheem dabble petty crime decide go big knock convenience store bishop magnetic leader group gun different aspirations want dj happen gig night robbery unfortunately bishop will take answer game everything keep,Crime
5470,5471,Get Married If You Can,ana paula catch cheat night drink wake far home certain want go back,Comedy
5471,5472,No Filter,woman visit chinese doctor discover pain due pen rage cure fully express whatever may come,Comedy
5472,5473,American Pastoral,set postwar america man watch seemingly perfect life fall apart daughter new political affiliation threaten destroy family,Crime
5473,5474,Birthday Sex,bad break tyler mia try celebrate birthday invite friend simon date best friends kristen sara side think lie distrust sexual desire occur night full drama birthday sex,Drama
5474,5475,Fast Five,former cop brian conner partner ex con dom toretto opposite side law since brian mia toretto break dom custody blow across many border elude authorities back corner rio de janeiro must pull one last job order gain freedom,Action
5475,5476,Rape Zombie: Lust of the Dead,nuclear attack tokyo female population attack infect males become sex craze zombies hungry human flesh officeworker momoko nurse nozomi seek shelter shinto shrine meet housewife kanae school girl tamae choices leave group girls decide take stand arm assault rifle explosives fight hordes horny zombies secret kill zombies good,Comedy
5476,5477,Crash,post sept los angeles tensions erupt live brentwood housewife district attorney husband persian shopkeeper two cop pair carjackers korean couple converge hour period,Drama
5477,5478,Of Gods and Men,french drama base kidnap kill seven monks algeria group trappist monks reside monastery tibhirine algeria live harmony largely muslim population bloody conflict algeria army muslim jihadi insurgents disrupt peace force consider flee monastery desert villagers minister face deadly violence monks wrestle faith convictions eventually decide stay help neighbour keep army insurgents bay,Drama
5478,5479,Billy Lynn's Long Halftime Walk,year old billy lynn bring home victory tour harrow iraq battle flashbacks film show really happen squad contrast realities war america perceptions,Drama
5479,5480,Casino Royale,sir jam bond call back retirement stop smersh order trick smersh jam think ultimate plan every agent name jam bond one bond whose real name evelyn tremble send take le chiffre game baccarat bond get handle,Adventure
5480,5481,Flashdance,alex owens teen juggle two odd job aspire become successful ballet dancer nick boss lover support encourage fulfil dream,Drama
5481,5482,La Luna,tour italy recently widow american opera singer incestuous relationship year old son help overcome heroin addiction,Drama
5482,5483,Veneciafrenia,like mosquitoes draw brightest light tourists follow light beautiful city world say refer venice however downside compound anguish last decades rage venetians foreign invasion reach flashpoint give full rein instinct survival oblivious simple group spanish tourists travel venice fun soon fight live,Horror
5483,5484,Stronger,victim boston marathon bomb help police track killers struggle recover devastate trauma,Drama
5484,5485,The Transformers: The Movie,autobots must stop colossal planet consume robot go autobot matrix leadership time must defend attack decepticons,Animation
5485,5486,Brawl in Cell Block 99,work drug courier get brutal shootout police former boxer find mercy enemies force instigate violent act turn prison reside battleground,Action
5486,5487,Tarzan,one classic revere stories time edgar rice burroughs tarzan return big screen new generation tarzan jane face mercenary army dispatch evil ceo greystoke energies man take company tarzan parent die plane crash african jungle,Family
5487,5488,Rudolph the Red-Nosed Reindeer,sam snowman tell us story young red nose reindeer oust reindeer game glow nose team hermey elf want dentist yukon cornelius prospector run abominable snowman find whole island misfit toy rudoph vow see get santa help toy go back north pole christmas eve santa sleigh fog santa look rudolph get bright idea,Animation
5488,5489,St. Agatha,st agatha set small town georgia pregnant con woman name agatha run seek refuge convent hide deafen isolation first start perfect place child turn dark lair silence force ghastly secrets mask every bite power agatha test soon learn sick twist truth convent odd people lurk inside halls agatha must find way discover unyielding strength need escape save baby cage behind wall forever,Horror
5489,5490,Vampire Academy,rise rebellious half vampire half human guardian train best friend lissa mortal royal vampire princess run capture return st vladamirs academy place believe live may jeopardy rise sacrifice everything protect lissa intend exploit within academy wall strigoi immortal evil vampires hunt kind outside sanctuary,Comedy
5490,5491,Vertigo,retire san francisco detective suffer acrophobia investigate strange activities old friend wife become dangerously obsess,Mystery
5491,5492,OSS 117: From Africa with Love,third entry secret agent oss parodic spy adventure,Comedy
5492,5493,Chronicles of the Ghostly Tribe,young soldier work china snowcapped mountains explosion reveal bizarre fossils hide deep mountain cavern discover next change life human history forever,Adventure
5493,5494,Bobbleheads: The Movie,get ready big shake misfit bobbleheads take trashy humans slobbery dog crash home plan swap new baseball player bobblehead valuable one guidance bobblehead cher find courage bobble outrageous battle wits wobble,Family
5494,5495,The Seed,rainer toil sweat brow build site first job site manager much need big break rise rent city already force pregnant wife year old daughter doreen move little house outskirts need renovate first doreen thrill new life meet neighbour mara girl whose parent rich narrow mind long new friends play fire mara incite doreen play nasty trick also entangle theft,Horror
5495,5496,The Captive,eight years disappearance cassandra disturb incidents seem indicate still alive police parent cassandra try unravel mystery disappearance,Drama
5496,5497,Viking,early middle age time heavy swords dark blood law rule clan discord guilt accidental death brother fall grand duke accord law revenge must take younger brother bastard refusal kill pay eve rything peace need swords war,Action
5497,5498,"Naruto, the Genie, and the Three Wishes, Believe It!",naruto discover genie bottle gang genin grill party everyone find genie ability grant wish ultimate chase begin,Animation
5498,5499,Field of Dreams,ray kinsella iowa farmer hear mysterious voice tell turn cornfield baseball diamond voice directions stop even spirit decease ballplayers turn play,Drama
5499,5500,Empire of the Sun,jamie graham privilege english boy live shanghai japanese invade force foreigners prison camp jamie capture american sailor look camp together even though separate parent hostile environment jamie maintain dignity youthful spirit provide beacon hope others hold captive,Drama
5500,5501,Black Snake Moan,god fear bluesman take wild young woman victim childhood sexual abuse look everywhere love never quite find,Drama
5501,5502,Good on Paper,years put career ahead love stand comic andrea singer stumble upon perfect guy paper check box everything appear,Comedy
5502,5503,My Cousin Rachel,young englishman plot revenge mysterious beautiful cousin believe murder guardian feel become complicate find fall beguile spell charm,Drama
5503,5504,Zombie Strippers!,distant future secret government animation chemo virus get release conservative sartre nebraska land underground strip club virus begin spread turn strippers super zombie strippers girls struggle whether conform new fad even mean turn back,Comedy
5504,5505,Fright Night,teenager suspect new neighbour vampire unable convince anyone try enlist help self proclaim vampire hunter magician,Horror
5505,5506,The Wailing,stranger arrive little village soon mysterious sickness start spread policeman draw incident force solve mystery order save daughter,Horror
5506,5507,Big Brother,soldier turn high school teacher use unusual methods reach class poor students deal greedy entrepreneur gang fighters well government,Action
5507,5508,Family Guy Presents: Stewie Griffin: The Untold Story,major sub plot circle around youngest griffin stewie near death experience pool lifeguard chair fall survive vision hell decide change ways last long watch television brian spot man look like stewie brian convince stewie real father stewie learn man actually adult take vacation time period baby stewie visit thirty years later discover adult self go name stu single blue collar middle age virgin work circuit city type store meanwhile peter lois try teach two older kid meg chris date future chris change much work cop marry foul mouth hustler name vanessa meg call ron since sex change college write,Action
5508,5509,The King's Speech,king speech tell story man become king george vi father queen elizabeth ii brother abdicate george bertie reluctantly assume throne plague dread stutter consider unfit king bertie engage help unorthodox speech therapist name lionel logue set unexpected techniques result unlikely friendship bertie able find voice boldly lead country war,Drama
5509,5510,The 12th Man,fail anti nazi sabotage mission leave eleven comrades dead norwegian resistance fighter find flee gestapo snowbound reach scandinavia,War
5510,5511,Grease 2,two years original grease gang graduate new crop seniors new members coolest cliques campus pink ladies bird michael carrington new kid school brand brainiac fix old motorcycle leather jacket avoid rumble leader bird win heart pink lady stephanie,Comedy
5511,5512,Minions: Puppy,minion see many owners walk dog want puppy try leash ladybug fail luckily ufo sweep away ladybug somehow agree become puppy,Animation
5512,5513,My Son,man son go miss travel town ex wife live search answer play man whose life cloud mystery mcavoy give script dialogue,Thriller
5513,5514,Up and Away,hodja dreamer want experience world father insist stay home take family tailor shop fortunately hodja meet old rug merchant el faza give fly carpet exchange bring old man little granddaughter diamond back pjort el faza travel sultan city mighty ruler impose death sentence el faza ground steal sultan carpet however city life quite hodja expect survive emerald poor street smart girl teach manage big world hodja lose carpet power hungry sultan luck seem run complete mission find el faza granddaughter return safely back pjort,Action
5514,5515,The Hole in the Ground,try escape break past sarah neill build new life fringe backwood rural town young son chris terrify encounter mysterious neighbour shatter fragile security throw sarah spiral nightmare paranoia mistrust try uncover disturb change little boy connect ominous sinkhole bury deep forest border home,Horror
5515,5516,The Fog,strange things begin occur tiny california coastal town prepare commemorate centenary inanimate object spring eerily life rev malone stumble upon dark secret town found radio announcer stevie witness mystical fire hitchhiker elizabeth discover mutilate corpse fisherman mysterious iridescent fog descend upon village people start die,Horror
5516,5517,Day of the Woman,young writer brutally gang rap leave dead four men systematically hunt one one exact terrible vengeance,Horror
5517,5518,Urban Legends: Bloody Mary,prom night dare trio high school friends chant incantation unleash evil spirit past deadly consequences,Horror
5518,5519,House of Flying Daggers,century china corrupt government wag war rebel army call fly daggers romantic warrior break beautiful rebel prison help rejoin fellows things seem,Documentary
5519,5520,Backdraft 2,years original backdraft sean son late steve bull mccaffrey assign investigate deadly fire realize something much sinister,Action
5520,5521,Small Fry,fast food restaurant mini variant buzz forcibly switch place real buzz friends deal obnoxious impostor,Animation
5521,5522,Steamboy,receive package grandfather ray young inventor live england mid century find catch middle deadly conflict relate revolutionary advance steam power,Animation
5522,5523,Six Days Seven Nights,quinn grouchy pilot live good life south pacific agree transfer savvy fashion editor robin tahiti end strand desert island plane crash pair avoid first force team escape island pirate want head,Adventure
5523,5524,I Love America,single woman decide take chance love catapult life paris los angeles awkward date touch surprise encounter understand journey love journey towards,Comedy
5524,5525,Son of a Rich,bear oligarch family grigory spoil think law go far escapades face jail sentence father take measure help friend plan rehabilitate son reconstruct abandon village century style soon grigory get arrange car accident go back time reincarnate serf people meet actors hide cameras everywhere team psychologists watch grigory learn appreciate life work hard,Comedy
5525,5526,Hotel Artemis,los angeles june streets tear apart riot nurse run clandestine hospital criminals penthouse artemis close old hotel rough night deal troublemaker clients thieve assassins someone past one own place whole city,Thriller
5526,5527,Tinker Tailor Soldier Spy,bleak days cold war espionage veteran george smiley force semi retirement uncover soviet mole within former colleagues heart,Drama
5527,5528,I'm So Excited!,film ensemble comedy write direct pedro appear though end sight pilot flight crew passengers plane head mexico city look forget anguish moment face greatest danger carry within,Comedy
5528,5529,Porno,assassin porn dubber transgender three souls one explicit illusion ultimate joy empty live safe passion love mean humanity ecstasy mean enlightenment soul ultimate arbiter truth,Drama
5529,5530,Beneath,crew coal miners become trap feet grind disastrous collapse air grow toxic time run slowly descend madness begin turn one another inspire true events,Horror
5530,5531,Patch Adams,true story dr hunter patch adams find humor best medicine will anything make patients laugh even mean risk career,Comedy
5531,5532,The Way Way Back,shy year old duncan go summer vacation mother overbear boyfriend boyfriend daughter rough time fit duncan find unexpected friend owen manager water wizz water park,Comedy
5532,5533,Short Cuts,many loosely connect character cross paths film base stories raymond carver waitress doreen piggot accidentally run boy car soon walk away child lapse coma hospital boy grandfather tell son howard past affairs meanwhile baker start harass family fail pick boy birthday cake,Comedy
5533,5534,The Last King of Scotland,young scottish doctor nicholas garrigan decide time adventure finish formal education decide try luck uganda arrive downfall president obote general idi amin come power ask garrigan become personal doctor,Drama
5534,5535,Como Hackear Seu Chefe,victor accidentally send compromise email nag boss help office crush clueless friend try save job deal rook hacker porn industry children online game smiley company mascot,Comedy
5535,5536,Megamind: The Button of Doom,first day job new protectors metro city megamind minion sell gadgets evil lair one seemingly harmless button unleash gigantic robot mega megamind duo resort old trick restore order,Animation
5536,5537,Beyond White Space,deep space fish vessel rob gang pirate captain make dare decision go rare nearly extinct species obsession propel space crew spin toward mutiny betrayal,Science Fiction
5537,5538,Damage,life respect british politician height career crumble become obsess son lover,Drama
5538,5539,Heartstopper,two hospitalize young people discover things get even worse dilapidate institution strand severe storm maniac stalk corridors butcher patients staff,Horror
5539,5540,My Week With Marilyn,london genius actor film director laurence olivier begin shoot upcoming movie premier prince showgirl star marilyn monroe young colin clark dream career movie business manage get job set third assistant director,Drama
5540,5541,Rising Sun,prostitute find dead los angeles skyscraper occupy large japanese corporation detectives john conner web smith call investigate although conner previous experience work japan cultural differences make progress difficult security disc show murder turn close scrutiny prove disc doctor detectives realize deal cover well,Action
5541,5542,Megan Leavey,true story marine corporal megan leavey form powerful bond aggressive combat dog rex deploy iraq two complete missions save countless live ied explosion put faithfulness test,Drama
5542,5543,Secretariat,housewife mother penny chenery agree take ail father virginia base meadow stable despite lack horse race knowledge odds chenery help veteran trainer lucien laurin manage navigate male dominate business ultimately foster first triple crown winner years,Drama
5543,5544,Monster-in-Law,office temp charlotte cantilini think find mr right start date gorgeous surgeon dr kevin field problem stand way everlasting bliss kevin overbear control mother viola fear lose son affections forever viola decide break happy couple become world worst mother law,Romance
5544,5545,Roman Holiday,overwhelm suffocate schedule tour european princess ann take night rome sedative take doctor kick however fall asleep park bench find american reporter joe bradley take back apartment safety work next morning joe find ann regal identity bet editor get exclusive interview romance soon get way,Romance
5545,5546,Serenity,renegade crew serenity agree hide fugitive ship find action pack battle relentless military might totalitarian regime destroy anything anyone get girl back bloodthirsty creatures roam uncharted areas space greatest danger may ship,Science Fiction
5546,5547,D.E.B.S.,star team teenage crime fighters fall allure villainess must bring justice,Action
5547,5548,Something Borrowed,though rachel successful attorney loyal generous friend still single one drink many birthday celebration rachel unexpectedly fall bed longtime crush dex happen engage best friend darcy ramifications liaison threaten destroy women lifelong friendship ethan rachel confidant harbor potentially explosive secret,Comedy
5548,5549,Mandy,shadow mountains red mandy lead love peaceful existence pine scent savagely destroy red catapult phantasmagoric journey fill bloody vengeance lace fire,Horror
5549,5550,Spree,kurt kunkle rideshare driver thirsty followers figure deadly plan go viral disturb livestream absurdly embrace social media hellscape comedian emerge hope stop,Horror
5550,5551,LEGO Jurassic World: The Indominus Escape,scientists jurassic world create captivate terrify new creature love hot dog happen hot dog run,Family
5551,5552,The Legend of Hei,bustle human world various demons hide live peace humans luo xiaohei cat demon begin journey wander forest home destroy search new home encounter demons well understand human ally leave hei dilemma side true attribution,Animation
5552,5553,Ammonite,england palaeontologist mary anning young woman send husband convalesce sea develop intense relationship despite chasm social spheres personalities mary charlotte discover offer search realisation alone begin passionate consume love affair defy social bound alter course live irrevocably,Romance
5553,5554,Monster High: Great Scarrier Reef,join favourite ghoulfriends new aquatic adventure ghouls get pull school pool transport gore geous underwater world great scarrier reef lagoon realize come home fintastic mission heart decide come term freaky flaw course need help creeperific firends ever confront frenemy past compete scaretastic dance extravaganze fight terrible beast deep,Family
5554,5555,You Got Served,mr rad warehouse best hip hop crew los angeles compete money respect suburban crew crash party steal dancers move two war friends pull together represent street star hip hop sensations marques houston omari grandberry lil kim comedian steve harvey,Music
5555,5556,Ninja: Shadow of a Tear,fight everyone trust one code survival practice martial arts master casey bowman life domestic bliss shatter savage act violence vow revenge fearless american stealthily track killer osaka bangkok rangoon help wise crafty sensei clue series victims whose neck bear distinctive mark strangulation barb wire fight avenge well survive casey must sharpen razor like responses take battle skills next level even use deep meditation fake death target sinister drug lord goro flood streets deadly meth cook remote jungle factory prepare ultimate confrontation casey must finally become invisible warrior worthy name ninja prey corner unexpected twist show casey battle begin truly trust one,Action
5556,5557,Flight 7500,flight depart los angeles international airport bind tokyo overnight flight make way pacific ocean ten hour course passengers encounter appear supernatural force cabin,Thriller
5557,5558,The Fly II,martin brundle bear human fly adopt father place employment bartok inc employees simply wait mutant chromosomes come dormant state,Horror
5558,5559,Scooby-Doo! and WWE: Curse of the Speed Demon,scooby mystery inc visit road race competition long strange events start occur mysterious phantom racer know inferno cause chaos determine sabotage race scooby doo shaggy new drive partner undertaker save race solve mystery,Family
5559,5560,Lara Croft: Tomb Raider - The Cradle of Life,lara croft venture underwater temple search mythological pandora box secure promptly steal villainous leader chinese crime syndicate lara must recover box syndicate evil mastermind use construct weapon catastrophic capabilities,Action
5560,5561,Rear Window,wheelchair bind photographer spy neighbor apartment window become convince one commit murder,Thriller
5561,5562,Time of EVE: The Movie,distant future androids come common usage however treat androids level humans frown upon constant paranoia surround possibility robots defy humans master appear trustworthy androids chide label android holics rikuo sakisaka take robots grant entire life one day discover sammy home android act independently come go find strange phrase record activity log enjoy time eve along friend masakazu masaki trace sammy movements find unusual nagi barista inform main rule discriminate humans androids rikuo try reveal sammy intentions begin question legitimacy fear drive humans regard androids nothing mere tool,Animation
5562,5563,Hanasaku Iroha: Home Sweet Home,sort mess book staff room ohana happen upon one denroku log book long ago within recount story ohana mom age,Animation
5563,5564,The Boondock Saints,tire crime overrun streets boston irish catholic twin brothers conner murphy inspire faith cleanse hometown evil brand zealous vigilante justice hunt kill one notorious gangster another become controversial folk heroes community paul smecker eccentric fbi agent fast close blood soak trail,Action
5564,5565,Duck Duck Goose,ground injury high fly bachelor saddle two wide eye orphan come face face dangers beauty outside world,Animation
5565,5566,An Extremely Goofy Movie,extreme sport life freedom max set college goofy miss max much lose job go finish college alongside max friends goofy try get closer max must go extreme learn live live together,Animation
5566,5567,Dead Calm,australian couple take sail trip pacific forget terrible accident open sea dead calm weather condition come across ship one survivor seem,Thriller
5567,5568,Scooby-Doo! and the Curse of the 13th Ghost,mystery inc withdraw solve crimes botch case vincent van ghoul contact gang unfinished investigation daphne shaggy scooby past gang spring action finish job involve catch ghost escape chest demons still large,Comedy
5568,5569,Scooby-Doo! and the Witch's Ghost,scooby doo mystery gang visit oakhaven massachusetts seek strange go involve famous horror novelist ancestor rumor witch,Animation
5569,5570,Detetive Madeinusa,bumble new detective hire billionaire lobbyist investigate theft prize ox unravel peculiar case form unbeatable team assistant waitress psychic marcela detective accessories store clerk larissa hacker zuleide together embark fun investigation,Comedy
5570,5571,Faster Than Light: the Dream of Interstellar Flight,faster light explore longstanding quest develop spacecraft enough power speed reach star film ask take reach newly discover planet circle sun nearest neighbor proxima centauri base real science engineer faster light take audiences thrill journey future aboard laser drive space sail antimatter engines even warp drive right science fiction say far fast technology one day take us say director thomas lucas,Documentary
5571,5572,Pay It Forward,like kid year old trevor mckinney believe goodness human nature like many kid determine change world better unlike kid succeed,Drama
5572,5573,Miller's Crossing,set political boss advisor part ways fall woman,Drama
5573,5574,Flatliners,five medical students want find life death plan stop one hearts second thus simulate death bring person back life,Drama
5574,5575,Dope,malcolm carefully survive life tough neighborhood los angeles juggle college applications academic interview sit chance invitation underground party lead adventure could allow go geek dope ultimately,Crime
5575,5576,The Wedding Unplanner,marina woman thirties work organize weddings inveterate romantic say people love care money unlike customers enjoy life without tie commitments moment fall love carlos problem get marry also fiancee marina childhood friend hire wed planner,Comedy
5576,5577,In the Realm of the Senses,passionate tell story sada abe woman whose affair master lead obsessive ultimately destructive sexual relationship,Documentary
5577,5578,Footloose,teenager ren family move big city chicago small town west real case culture shock discover live place music dance illegal,Drama
5578,5579,The Pool,leave alone clean meter deep desert pool day fall asleep inflatable raft wake water level sink low climb stick pool day scream help thing hear creature nearby crocodile farm,Thriller
5579,5580,American Murder: The Family Next Door,use raw firsthand footage documentary examine disappearance shanann watts children terrible events follow,Documentary
5580,5581,The Nice Guys,private eye investigate apparent suicide fade porn star los angeles uncover conspiracy,Comedy
5581,5582,Possession,young woman leave family unspecified reason husband determine find truth start follow wife first suspect man involve gradually find strange behaviors bizarre incidents indicate something possess love affair,Horror
5582,5583,Hellbound: Hellraiser II,doctor channard send new patient girl warn terrible creatures destroy family cenobites offer intense sensations pleasure pain channard search doorway hell years kirsty must follow save father witness power struggle among newly damn,Horror
5583,5584,Porno Baby,woman undergo psychological evaluation sexual desire,Drama
5584,5585,Amazonia: The Catherine Miles Story,young woman seek vengeance find love parent kill amazon take prisoner indigenous tribe headhunters,Adventure
5585,5586,The Jewel of the Nile,joan wilder thrust back world murder chase foreign intrigue love time dupe duplicitous arab dignitary bring middle east ostensibly write book life course good joan another pawn wicked game jack colton sidekick ralph show help intrepid heroine save day,Adventure
5586,5587,What's Your Number?,ally darling realize little lose life latest romance fizzle fire market job read eye open magazine article warn percent women lovers unlikely find husband determine turn life around prove article wrong ally embark mission find perfect mate among numerous ex boyfriends,Comedy
5587,5588,The Lizzie McGuire Movie,lizzie mcguire graduate middle school take trip rome italy class suppose normal trip become teenager dream come true,Family
5588,5589,The Lamb,charlie lucille awkward date take disappoint turn,Horror
5589,5590,Frivolous Lola,story take place northern italy lola masetto get marry masetto want keep lola virgin marry lola impatient remain chastity wed night want sure masetto good lover commit marriage everything trick masetto break moral tradition,Comedy
5590,5591,I Dream in Another Language,indigenous language peril last two speakers quarrel past speak years young linguist undertake challenge bring old friends back together convince speak obtain record registration language study,Fantasy
5591,5592,Amityville: The Awakening,belle little sister comatose twin brother move new house single mother joan order save money help pay brother expensive healthcare strange phenomena begin occur house include miraculous recovery brother belle begin suspect mother tell everything soon realize move infamous amityville house,Thriller
5592,5593,Mirror Mirror,spend money evil enchantress queen scheme marry handsome wealthy prince one problem love beautiful princess snow white join seven rebellious dwarves snow white launch epic battle good vs evil,Adventure
5593,5594,Easy Money,jw become drug runner order maintain double life fate become tie two men jorge fugitive run serbian mafia police mafia enforcer mrado hunt jorge,Comedy
5594,5595,Seven Years in Tibet,austrian mountaineer heinrich harrer journey himalayas without family head expedition world war ii break arrogant harrer fall ally force hand prisoner war escape fellow detainee make way llaso tibet meet year old dalai lama whose friendship ultimately transform outlook life,Adventure
5595,5596,The Astronaut's Wife,astronaut spencer armacost return earth mission nearly cost life decide take desk job order see beautiful wife jillian often gradually jillian notice spencer personality seem change concern fade discover pregnant jillian grow closer become mother suspicions spencer return seem different person,Drama
5596,5597,Don't Say a Word,daughter psychiatrist kidnap horrify discover abductors demand break post traumatic stress disorder suffer young woman know secret,Thriller
5597,5598,Kidnapping Stella,snatch street hold ransom bind gag woman use limit power derail two mask abductors carefully lay plan,Thriller
5598,5599,A Change of Seasons,marriage take sour turn middle age husband fall young sexy woman things get even complicate wife start hot affair younger lover,Drama
5599,5600,Innerspace,test pilot tuck pendleton volunteer test special vessel miniaturization experiment accidentally inject neurotic hypochondriac jack putter tuck must convince jack find ex girlfriend lydia maxwell help extract tuck ship enlarge oxygen run,Action
5600,5601,Scooby-Doo! Music of the Vampire,scooby gang first musical mystery scooby doo music vampire begin take sing long road trip bayou country attend vampire palooza festival outdoor fair dedicate things draculian first look fun lot southern snack events soon turn scary real live vampire come life burst coffin threaten townsfolk top baritone blood sucker seem intent take daphne vampire bride could vampire descendant famous vampire hunter try sell book perhaps local politician try make name press attack vampires downright unwholesome answer find final song fill showdown swamp heroes unmask one macabre monsters yet,Family
5601,5602,The Horse Whisperer,mother severely traumatize daughter enlist aid unique horse trainer help girl equally injure horse,Drama
5602,5603,Silhouette,silhouette story jack amanda harm pass young daughter set seclusion begin live anew quickly upon arrival things go awry sin past come back haunt,Horror
5603,5604,Chaos,seattle detective quentin conners unfairly suspend partner jason york leave police force tragic shoot pearl street bridge hostage criminal die bank heist hostage situation conners assign charge operation rookie shane dekker partner thieve lead lorenz apparently steal penny bank chase gangsters police team disclose plant virus system steal one billion dollars different account use principle chaos theory find lorenz kill accomplices,Science Fiction
5604,5605,Burying the Ex,horror enthusiast max break things girlfriend evelyn die bus accident time max meet another woman evelyn resurface zombie ready resume relationship,Comedy
5605,5606,For a Few Dollars More,two bounty hunters pursuit el indio one want fugitives western territories gang,Western
5606,5607,Buried,paul truck driver work iraq attack group iraqis wake find bury alive inside coffin lighter cell phone race time escape claustrophobic death trap,Drama
5607,5608,Spider-Man Strikes Back,new york state university one peter parker tutor accidentally give three students materials need create atomic bomb peter parker try find happen police suspect crime peter deal attractive journalist determine get interview spider man dastardly millionaire mr white show stop nothing get hand atomic bomb spider man must defeat scheme villain stop blow world trade centre,Action
5608,5609,Butch Cassidy and the Sundance Kid,late wyoming butch cassidy affable clever talkative leader outlaw hole wall gang closest companion laconic dead shoot sundance kid west rapidly become civilize law finally catch butch sundance gang chase doggedly special posse two decide make way south america hop evade pursuers,Western
5609,5610,Pervert Ward: Torturing the White Uniform,japanese cult filmmaker hisayasu sato take crack constant climb toward respectability particular kinky pinku eiga entry aim latex rubber fetish set medical center nurse deal patient amnesia find serial slayer wander city arm metal baseball bat story really excuse many softcore couple offer rubber gloves well like usually downbeat wallow perverse perhaps offer evidence one take filmmaker slum reverse often untrue maya shiraki movie star omnipresent takeshi ito yoko fujita,Science Fiction
5610,5611,Jobs,story steve job ascension college dropout one revere creative entrepreneurs century,Drama
5611,5612,Lemonade Mouth,story follow five disparate high school students olivia mo charlie stella wen meet detention realize destine rock ultimately form band become champion students sideline high school elite,Drama
5612,5613,Kung Fu Panda: Secrets of the Furious Five,order teach martial arts class rambunctious bunny kitten po tell stories furious five pasts,Animation
5613,5614,Hubie Halloween,hubie dubois despite devotion hometown salem massachusetts legendary halloween celebration figure mockery kid adults alike year something really go bump night hubie save halloween,Comedy
5614,5615,Like Stars on Earth,ishaan awasthi eight year old whose world fill wonder one else seem appreciate colour fish dog kit seem important adults much interest things like homework mark neatness ishaan cannot seem get anything right class send board school life change forever,Drama
5615,5616,Monster High: New Ghoul at School,new girl totally terrify see really happen frankie stein first week monster high,Family
5616,5617,Blue Velvet,discovery sever human ear find field lead young man investigation relate beautiful mysterious nightclub singer group criminals kidnap child,Drama
5617,5618,Conspiracy Theory,man obsess conspiracy theories become target one theories turn true unfortunately order save figure theory,Action
5618,5619,I Am Mother,teenage girl raise underground robot mother design repopulate earth follow extinction event unique bond threaten inexplicable stranger arrive alarm news,Science Fiction
5619,5620,The Rocky Horror Picture Show,sweethearts brad janet stick flat tire storm discover eerie mansion dr frank furter transvestite scientist innocence lose brad janet meet houseful wild character include rock biker creepy butler elaborate dance rock songs frank furter unveil latest creation muscular man name rocky,Comedy
5620,5621,Downfall,april germany stand brink defeat russian army close east ally expeditionary force attack west berlin capital third reich adolf hitler proclaim germany still achieve victory order general advisers fight last man end finally come hitler lie dead hand leave military must find way end kill battle berlin lay arm surrender,Documentary
5621,5622,The Wailer 2,professor mcbride learn body daughter julie never find take upon go quest discover truth daughter disappearance help chava young mexican anthropologist cult old witch ladies embark mission exorcise body julie evil soul la llorona,Horror
5622,5623,Viking Blood,viking mercenary find middle battle old gods new decide neither side deserve win begin epic battle good evil decide fate nation,Action
5623,5624,Just Friends,visit hometown christmas man come face face old high school crush best friends woman whose rejection turn ferocious womanizer,Comedy
5624,5625,Possessor Uncut,tasya vos elite corporate assassin use brain implant technology take control people body terminate high profile target sink deeper latest assignment vos become trap inside mind threaten obliterate,Horror
5625,5626,Camp Rock,mitchie get chance attend camp rock life take unpredictable twist learn important true,Family
