Number,Genres,Overview,Title,,,,,,,,,,,,
2088,Thriller,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.",The Happening,,,,,,,,,,,,
2089,Comedy,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",When Harry Met Sally...,,,,,,,,,,,,
2090,Action,"In Babylon A.D Vin Diesel stars as a veteran-turned-mercenary who is hired to deliver a package from the ravages of post-apocalyptic Eastern Europe to a destination in the teeming megalopolis of New York City. The ""package"" is a mysterious young woman with a secret.",Babylon A.D.,,,,,,,,,,,,
2091,Adventure,"A nomadic 16th century warrior, condemned to hell for his brutal past, seeks redemption by renouncing violence, but finds some things are worth burning for as he fights to free a young Puritan woman from the grip of evil.",Solomon Kane,,,,,,,,,,,,
2092,Comedy,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,You Don't Mess with the Zohan,,,,,,,,,,,,
2093,Comedy,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",Sideways,,,,,,,,,,,,
2094,Adventure,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,Highlander,,,,,,,,,,,,
2095,Family,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",Ella Enchanted,,,,,,,,,,,,
2096,Drama,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Papillon,,,,,,,,,,,,
2097,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",All About Eve,,,,,,,,,,,,
2098,Crime,"Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.",Dog Day Afternoon,,,,,,,,,,,,
2099,Comedy,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,Annie Hall,,,,,,,,,,,,
2100,Science Fiction,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",Star Trek: First Contact,,,,,,,,,,,,
2101,Crime,"A group of teenage girls heading into the city hook up with a gang of drug-addled ne'er-do-wells and are brutally murdered. The killers find their way to the home of one of their victim's parents, where both father and mother exact a horrible revenge.",The Last House on the Left,,,,,,,,,,,,
2102,Comedy,"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",The Christmas Chronicles,,,,,,,,,,,,
2103,Drama,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",Tinker Tailor Soldier Spy,,,,,,,,,,,,
2104,Comedy,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?  Based on Cecelia Ahern's bestselling novel, LOVE, ROSIE is a heart-warming, modern comedy-of-errors posing the ultimate question: do we really only get one shot at true love?","Love, Rosie",,,,,,,,,,,,
2105,Drama,"After a failed anti-Nazi sabotage mission leaves his eleven comrades dead, a Norwegian resistance fighter finds himself fleeing the Gestapo through the snowbound reaches of Scandinavia.",The 12th Man,,,,,,,,,,,,
2106,Animation,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Pooh convinces Tigger, Rabbit, Piglet, Owl, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to save him.",Winnie the Pooh,,,,,,,,,,,,
2107,Action,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead ??or worse!",Romeo Must Die,,,,,,,,,,,,
2108,Crime,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",A Most Violent Year,,,,,,,,,,,,
2109,Action,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",Parker,,,,,,,,,,,,
2110,Action,"Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",District B13,,,,,,,,,,,,
2111,Drama,"Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he?™s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.",Up in the Air,,,,,,,,,,,,
2112,Adventure,"Jackie Chan stars as Asian Hawk, an Indiana Jones-style adventurer looking to make a fortune in exotic antiquities. After Hawk discovers a mysterious sword in Africa, a band of Satan-worshipping monks kidnap his ex-girlfriend Lorelei, demanding the sword as ransom as well as other pieces of the legendary Armour of God - a magical outfit dating back to the Crusades.",Armour of God,,,,,,,,,,,,
2113,Horror,"After an ecstatic drunken party, a couple wakes up without any recollection of the events of the previous night. When they find traces of a possible hit and run on the car's bumper, they come to believe they may have committed murder.",Night Terror,,,,,,,,,,,,
2114,Comedy,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it's mad and controlling world of overtaking another human body.",Being John Malkovich,,,,,,,,,,,,
2115,Adventure,"In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love.",Return to the Blue Lagoon,,,,,,,,,,,,
2116,Horror,"A young Mexican woman crosses the border in search of the American dream, only to instead find her worst nightmare lying within.",Into the Dark: Culture Shock,,,,,,,,,,,,
2117,Action,"The film opens with a Saiyan Space pod flying through space and crash-landing on Earth out of which a wounded Saiyan crawls out: Broly, the Legendary Super Saiyan. The wounded Broly shouts out in frustation and turns into normal form. The place soon freezes, trapping him in it and he falls into a coma.",Dragon Ball Z: Broly ??Second Coming,,,,,,,,,,,,
2118,Comedy,"The Newton family live in their comfortable home, but there seems to something missing. This ""hole"" is filled by a small puppy, who walks into their home and their lives. Beethoven, as he is named, grows into a giant of a dog... a St Bernard. Doctor Varnick, the local vet has a secret and horrible sideline, which requires lots of dogs for experiments. Beethoven is on the bad doctor's list.",Beethoven,,,,,,,,,,,,
2119,Adventure,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,The Magnificent Seven,,,,,,,,,,,,
2120,Comedy,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,Neighbors 2: Sorority Rising,,,,,,,,,,,,
2121,Comedy,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancÃ© dumps her.",Bad Teacher,,,,,,,,,,,,
2122,Drama,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers??speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",The Founder,,,,,,,,,,,,
2123,Horror,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,Friday the 13th,,,,,,,,,,,,
2124,Comedy,A catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins.,Serial (Bad) Weddings,,,,,,,,,,,,
2125,Adventure,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",The Spiderwick Chronicles,,,,,,,,,,,,
2126,Comedy,"A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.",All About My Mother,,,,,,,,,,,,
2127,Drama,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",Steve Jobs,,,,,,,,,,,,
2128,Drama,"Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Crystal to find and kill the individual responsible for his brother's recent death.",Only God Forgives,,,,,,,,,,,,
2129,Drama,"September 1941. In a turn of events young lovebirds Kostya and Nastya find themselves on board of a barge that will evacuate people from sieged Leningrad. At night the barge gets into the storm. When it starts sinking, enemy planes - but not rescuers - are the first to arrive at the scene.",Saving Leningrad,,,,,,,,,,,,
2130,Drama,"Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.",The Bling Ring,,,,,,,,,,,,
2131,Animation,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",Wolf Children,,,,,,,,,,,,
2132,Drama,Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,Philadelphia,,,,,,,,,,,,
2133,Action,"Edmond DantÃ©s's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, DantÃ©s escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",The Count of Monte Cristo,,,,,,,,,,,,
2134,Drama,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.","Spring, Summer, Fall, Winter... and Spring",,,,,,,,,,,,
2135,Crime,"A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy.  Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays  double if the death is accidental.",Double Indemnity,,,,,,,,,,,,
2136,Comedy,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront the young real estate broker, who was having an affair with Elizabeth before her misfortune.",The Descendants,,,,,,,,,,,,
2137,Horror,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters??lives. Sixteen years later the daughters reunite at the house, and that is when things get strange .Â .Â .",Ghostland,,,,,,,,,,,,
2138,Drama,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",The Giver,,,,,,,,,,,,
2139,Drama,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",47 Meters Down,,,,,,,,,,,,
2140,Adventure,"Rapunzel grapples with the responsibilities of being a princess and the overprotective ways of her father. While she wholeheartedly loves Eugene, Rapunzel does not share his immediate desire to get married and settle down within the castle walls. Determined to live life on her own terms, she and her tough-as-nails Lady-in-Waiting Cassandra embark on a secret adventure where they encounter mystical rocks that magically cause Rapunzel's long blonde hair to grow back. Impossible to break and difficult to hide, Rapunzel must learn to embrace her hair and all that it represents.",Tangled: Before Ever After,,,,,,,,,,,,
2141,Romance,"Treasure hunter Ben 'Finn' Finnegan has sunk both his trusty boat and his marriage to Tess in his obsessive quest to find the legendary 'Queen's Dowry' treasure. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss along on the hunt. But Finn is not the only one interested in the gold?”his former mentor-turned-enemy will stop at nothing to beat him to it.",Fool's Gold,,,,,,,,,,,,
2142,Comedy,An emotionally desperate investment banker finds hope through a woman he meets in Chicago.,Demolition,,,,,,,,,,,,
2143,Horror,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",Drag Me to Hell,,,,,,,,,,,,
2144,Adventure,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",Season of the Witch,,,,,,,,,,,,
2145,Comedy,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",Herbie Fully Loaded,,,,,,,,,,,,
2146,Action,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",The Negotiator,,,,,,,,,,,,
2147,Drama,"Picking up after the events of Never Back Down 2, former MMA champion Case Walker is on the comeback trail to become champion once again.",Never Back Down: No Surrender,,,,,,,,,,,,
2148,Fantasy,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas.",The Santa Clause,,,,,,,,,,,,
2149,Comedy,"Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad.",Role Models,,,,,,,,,,,,
2150,Thriller,"An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past.",Universal Soldier,,,,,,,,,,,,
2151,Drama,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",Born on the Fourth of July,,,,,,,,,,,,
2152,Comedy,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,Bride Wars,,,,,,,,,,,,
2153,Comedy,"A comedy about a zookeeper who might be great with animals, but he doesn't know anything about the birds and the bees. The man can't find love, so he decides to quit his job at the zoo, but his animal friends try to stop him and teach him that Mother Nature knows best when it comes to love.",Zookeeper,,,,,,,,,,,,
2154,Drama,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",American Hustle,,,,,,,,,,,,
2155,Action,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",Surrogates,,,,,,,,,,,,
2156,Drama,A woman lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.,Wild Orchid,,,,,,,,,,,,
2157,Adventure,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,The Walk,,,,,,,,,,,,
2158,Drama,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client?™s papers. As he works alone in the client?™s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",The Woman in Black,,,,,,,,,,,,
2159,Horror,"An escaped maniac returns to his childhood home on Christmas Eve, which is now a sorority house, and begins to murder the sorority sisters one by one. A remake of the 1974 horror movie, Black Christmas.",Black Christmas,,,,,,,,,,,,
2160,Comedy,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",American Pie Presents: Beta House,,,,,,,,,,,,
2161,Animation,"Kenichi Sonoda announced at Anime Central that he launched a Kickstarter campaign to fund a new ""Bean Bandit"" anime. He confirmed that the project will meld elements of Riding Bean and Gunsmith Cats, and like these previous works it will take place in Chicago.",Bean Bandit,,,,,,,,,,,,
2162,Horror,"Elsa and Clive, two young rebellious scientists, defy legal and ethical boundaries and forge ahead with a dangerous experiment: splicing together human and animal DNA to create a new organism. Named ""Dren"", the creature rapidly develops from a deformed female infant into a beautiful but dangerous winged human-chimera, who forges a bond with both of her creators - only to have that bond turn deadly.",Splice,,,,,,,,,,,,
2163,Animation,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",The SpongeBob SquarePants Movie,,,,,,,,,,,,
2164,Crime,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her ??but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",The Town,,,,,,,,,,,,
2165,Action,"Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals. Despite being pursued by the henchmen, Fred finds the time to flirt with HÃ©lÃ©na, blow a safe, rob a train, evade the hapless Metro police, and start a rock band",Subway,,,,,,,,,,,,
2166,Crime,A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.,Strangers on a Train,,,,,,,,,,,,
2167,Animation,"Mater, the rusty but trusty tow truck from Cars, spends a day in Radiator Springs playing scary pranks on his fellow townsfolk. That night at Flo's V8 CafÃ©, the Sheriff tells the story of the legend of the Ghostlight, and as everyone races home Mater is left alone primed for a good old-fashioned scare.",Mater and the Ghostlight,,,,,,,,,,,,
2168,Comedy,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",Music and Lyrics,,,,,,,,,,,,
2169,Thriller,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati - a secret, underground organization - after four cardinals are kidnapped on the night of the papal conclave.",Angels & Demons,,,,,,,,,,,,
2170,Drama,"The hidden memoir of an elderly woman confined to a mental hospital reveals the history of her passionate yet tortured life, and of the religious and political upheavals in Ireland during the 1920s and 30s.",The Secret Scripture,,,,,,,,,,,,
2171,Action,"The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.",Shanghai Knights,,,,,,,,,,,,
2172,Animation,"Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.",Fantasia 2000,,,,,,,,,,,,
2173,Comedy,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",The Great Mouse Detective,,,,,,,,,,,,
2174,Documentary,A film about the Rennes fans,Tu ne seras jamais seul,,,,,,,,,,,,
2175,Romance,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",The Mountain Between Us,,,,,,,,,,,,
2176,Crime,"Kevin McCallister's parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father's rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie's mansion.",Home Alone 4,,,,,,,,,,,,
2177,Drama,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",The Florida Project,,,,,,,,,,,,
2178,Science Fiction,Two teenagers build time machines to save one's brother from being killed by the police.,See You Yesterday,,,,,,,,,,,,
2179,Fantasy,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,Midnight in Paris,,,,,,,,,,,,
2180,Drama,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",The Firm,,,,,,,,,,,,
2181,Action,A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,Cobra,,,,,,,,,,,,
2182,Comedy,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",13 Going on 30,,,,,,,,,,,,
2183,Thriller,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",Hold the Dark,,,,,,,,,,,,
2184,Thriller,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,Side Effects,,,,,,,,,,,,
2185,Thriller,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,Under the Skin,,,,,,,,,,,,
2186,Comedy,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,27 Dresses,,,,,,,,,,,,
2187,Comedy,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",Dan in Real Life,,,,,,,,,,,,
2188,Crime,"In Cheonan, a serial murder case takes place, but the case becomes more and more of a mystery. Only Tae-suk, a cop, immediately senses that all the cases are by the same killer and starts investigation. One day, Dong-soo, a gang boss, got attacked by a suspicious man, and Tae-suk realizes that this man is the serial killer, K. Now, Dong-soo becomes the only witness and a survived victim from K.","The Gangster, The Cop, The Devil",,,,,,,,,,,,
2189,Action,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,The French Connection,,,,,,,,,,,,
2190,Comedy,"After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.",Anger Management,,,,,,,,,,,,
2191,Comedy,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",Bicentennial Man,,,,,,,,,,,,
2192,Adventure,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naÃ¯ve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",Crocodile Dundee,,,,,,,,,,,,
2193,Crime,"A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",Perfect Stranger,,,,,,,,,,,,
2194,Crime,"A barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named Grace hides from the criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.",Dogville,,,,,,,,,,,,
2195,Comedy,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.",Rab Ne Bana Di Jodi,,,,,,,,,,,,
2196,Comedy,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancÃ©. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",Freaky Friday,,,,,,,,,,,,
2197,Comedy,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",No Strings Attached,,,,,,,,,,,,
2198,Comedy,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",Ed Wood,,,,,,,,,,,,
2199,Music,"Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway star Gary Johnston to go undercover. With the help of Team America, Gary manages to uncover the plan to destroy the world. Will Team America be able to save it in time? It stars??Samuel L Jackson, Tim Robbins, Sean Penn, Michael Moore, Helen Hunt, Matt Damon, Susan Sarandon, George Clooney, Danny Glover, Ethan Hawke, Alec Baldwin??or does it?",Team America: World Police,,,,,,,,,,,,
2200,Drama,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",Men of Honor,,,,,,,,,,,,
2201,Horror,"After a car crash, a criminal psychologist regains consciousness only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband?”but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",Gothika,,,,,,,,,,,,
2202,Animation,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.","South Park: Bigger, Longer & Uncut",,,,,,,,,,,,
2203,Adventure,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",Pan,,,,,,,,,,,,
2204,History,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",Memoirs of a Geisha,,,,,,,,,,,,
2205,Horror,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",Mama,,,,,,,,,,,,
