Number,Title,Overview,Genres
1608,The Spy Who Loved Me,russian british submarine nuclear missiles board vanish sight without trace england russia blame jam bond try solve riddle disappear ship kgb also agent case,Adventure
1609,Legend,suave charm volatile reggie kray unstable twin brother ronnie start leave mark london underworld use violence get want siblings orchestrate robberies murder run nightclubs protection racket police detective leonard nipper read hot heel brothers continue rapid rise power achieve tabloid notoriety,Crime
1610,The American,dispatch small italian town await order assassin jack embark double life may relax good,Crime
1611,"Girl, Interrupted",set change world late susanna kaysen prescribe short rest psychiatrist meet become strange unknown journey alice wonderland struggle thin line normal crazy susanna soon realize hard get commit ultimately choose world people belong inside difficult world reality outside,Drama
1612,The Mist,violent storm dense cloud mist envelop small maine town trap artist david drayton five year old son local grocery store people soon discover mist conceal deadly horrors threaten live worse sanity,Horror
1613,The Nutty Professor,eddie murphy star shy dr sherman klump kind brilliant calorifically challenge genetic professor beautiful carla purty join university faculty sherman grow desperate whittle pound frame size win heart one swig experimental fat reduce serum sherman become buddy love fast talk pump plump juan,Fantasy
1614,Punisher: War Zone,wag one man war world organize crime ruthless vigilante hero frank castle set sight overeager mob boss billy russoti russoti leave horribly disfigure castle set vengeance new alias jigsaw punisher task force hot trail fbi unable take jigsaw frank must stand formidable army jigsaw recruit evil deeds go unpunished,Action
1615,Entrapment,two thieve travel elegant circle try outsmart process end fall love,Romance
1616,Corpse Bride,set century european village stop motion animation feature follow story victor young man whisk away underworld wed mysterious corpse bride real bride victoria wait bereft land live,Romance
1617,The Fighter,fighter drama boxer irish micky ward unlikely road world light welterweight title rocky like rise shepherd half brother dicky boxer turn trainer rebound life nearly ko drug crime,Drama
1618,Fun with Dick and Jane,dick harper lose job globodyne enron esque collapse wife jane turn crime order handle massive debt face two intelligent people dick jane actually get pretty good rob people even enjoy second thoughts remind crime hurt innocent people couple hear globodyne boss jack mccallister actually swindle company plot revenge,Comedy
1619,The Waterboy,bobby boucher water boy struggle college football team coach discover boucher hide rage make tackle machine whose bone crush power might vault team playoffs,Comedy
1620,Wrong Turn 4: Bloody Beginnings,follow group friends decide go snowmobile winter break make wrong turn get lose storm,Horror
1621,The Sisters Brothers,oregon hermann kermit warm chemist aspire gold prospector keep profitable secret commodore want know send sisters brothers two notorious assassins capture way california,Comedy
1622,Sister's Younger Husband,sexy brother law approach younger man mi yeon adopt family little live older sister si yeon si yeon husband mi yeon desire towards brother law grow every night get watch affectionate interaction older sister brother law one day mi yeon seduce brother law two end cross line situation go mi yeon find older sister also affairs outside marriage mi yeon try clear relationship brother law guilty feel however hear something shock brother law,Comedy
1623,1408,man specialize debunk paranormal occurrences check fabled room dolphin hotel soon settle confront genuine terror,Horror
1624,Look Away,timid reclusive year old high school student alienate parent ruthlessly reject peer desperate isolate confide reflection mirror find imagine evil twin someone support encourage know secret desire irls trade place repress sexuality ferocious violence erupt dangerous sense freedom,Horror
1625,Sierra Burgess Is a Loser,case mistake identity result unexpected romance popular girl high school biggest loser must come together win crush,Comedy
1626,Suspiria,moment arrive freiberg germany attend prestigious tanz academy american ballet dancer suzy bannion sense something horribly evil lurk within wall age old institution,Horror
1627,Braven,logger defend family group dangerous drug runners,Drama
1628,The Time Traveler's Wife,due genetic disorder handsome librarian henry detamble involuntarily zip time appear various moments life true love beautiful artist clare abshire,Drama
1629,Jeepers Creepers,college age brother sister get bargain road trip home spring break bicker siblings witness creepy truck driver toss body bag sewer near abandon church investigate bad move open pandora box unspeakable evil pair must flee live monstrous shape hot pursuit,Horror
1630,Henry V,gritty adaption william shakespeare play english king bloody conquest france,War
1631,The Ninth Gate,expense pay international search rare copy book nine gate shadow kingdom bring unscrupulous book dealer deep world murder double deal satanic worship,Horror
1632,Driving Miss Daisy,story old jewish widow name daisy werthan relationship black chauffeur hoke initial mere work relationship grow years strong friendship two different character time type relationships shun upon oscar win tragic comedy star stud cast base play name alfred uhry,Comedy
1633,We Were Soldiers,story first major battle american phase vietnam war soldier side fight,Action
1634,Sweet Home Alabama,new york fashion designer melanie carmichael suddenly find engage city eligible bachelor past hold many secrets ncluding jake redneck husband marry high school refuse divorce bind determine end contentious relationship melanie sneak back home alabama confront past,Comedy
1635,Saturday Night Fever,tony manero brooklyn paint store clerk give anything break dead end existence life tony peasant disco dance floor king soundtrack play one bee gee hit another white suit tony strut stuff amidst flash light sweaty undulate body tony class aspirations mirror relationship dance partner secretary eager move glamorous world manhattan,Drama
1636,Poltergeist,steve freeling live wife diane three children dana robbie carol anne southern california sell house company build neighborhood start odd occurrences break dish furniture move around however realize something truly evil haunt home steve call team lead dr lesh help late,Horror
1637,The Space Between Us,young man raise scientists mar return earth find father,Romance
1638,The Ides of March,dirty trick stand soil ambitious young press spokesman idealism cutthroat presidential campaign victory relative,Drama
1639,The Wandering Earth,sun begin expand way inevitably engulf destroy earth hundred years unite mankind find way avoid extinction propel planet solar system use gigantic engines move new home locate four light years away epic journey last thousands years,Science Fiction
1640,Girls Just Want to Have Fun,janey new town soon meet lynne share passion dance general dance tv particular competition announce find new dance tv regular couple janey lynne determine audition problem janey father approve kind thing,Comedy
1641,Police Academy 2: Their First Assignment,officer carey mahoney cohorts finally graduate police academy hit streets first assignment question ready battle band graffiti tag terrorists time tell sell short cheerful band doltish boys blue,Comedy
1642,To Catch a Thief,prevent accuse crimes ex burglar must catch thief copy style,Crime
1643,Black Mirror: Bandersnatch,young programmer begin question reality adapt dark fantasy novel video game mind bend tale multiple end,Science Fiction
1644,Monster House,monsters bed scary enough happen entire house get three teens aim find go decrepit neighbor home unlock frighten secrets,Animation
1645,Spider-Man: Homeless,alternate parody world death uncle ben rock peter life hard become drug addict homeless hero documentary crew follow peter day day struggle find great power sometimes result,Comedy
1646,The Great Escape,nazis exasperate number escape prison camp relatively small number ally prisoners relocate high security escape proof camp sit remainder war undaunted prisoners plan one ambitious escape attempt world war ii base true story,Adventure
1647,Alvin and the Chipmunks: Chipwrecked,play around aboard cruise ship chipmunks chipettes accidentally go overboard end maroon tropical paradise discover new turf desert seem,Comedy
1648,Rings,julia become worry boyfriend holt explore dark urban legend mysterious videotape say kill watcher seven days view sacrifice save boyfriend make horrify discovery movie within movie one ever see,Horror
1649,Charlie's Angels: Full Throttle,angels charge find pair miss ring encode personal information members witness protection program informants kill ladies target rogue agent might responsible,Action
1650,The Perks of Being a Wallflower,year old freshman charlie wallflower always watch life sideline two charismatic senior students become mentor free spirit sam stepbrother patrick help charlie discover joy friendship first love music teacher spark charlie dream become writer,Drama
1651,Taking Lives,recruit assist montreal police desperate search serial killer assume identities victims fbi profiler illeana scott know matter time killer strike promise lead museum employee might killer eyewitness,Action
1652,Date Night,phil claire foster fear mild mannered relationship may fall stale rut weekly date night dinner reservation lead mistake couple thievesend number unsavoury character want phil claire kill,Comedy
1653,While You Were Sleeping,transit worker pull commuter peter railway track mug coma family mistakenly think peter fiancee correct things get complicate fall brother quite sure claim,Comedy
1654,Pandorum,two crew members wake abandon spacecraft idea long asleep mission two soon discover actually alone reality situation horrify could imagine,Action
1655,Hide and Seek,david callaway try piece together life wake wife suicide leave raise nine year old daughter emily david first amuse discover emily create imaginary friend name charlie long charlie develop sinister violent side david struggle daughter grow emotional problems come frighten realisation charlie figment emily imagination,Horror
1656,Aladdin and the King of Thieves,legendary secrets reveal aladdin friends asmine abu carpet course always entertain genie ace sort terrify threats make excite last minute escape pursue king thieve villainous crew,Adventure
1657,Romeo + Juliet,director baz luhrmann contemporary take william shakespeare classic tragedy montagues capulets move ongoing feud swelter suburb verona beach romeo juliet fall love secretly wed though film visually modern bard dialogue remain,Drama
1658,Backstabbing for Beginners,idealistic young employee investigate grizzly murder predecessor uncover vast global conspiracy may involve boss,Thriller
1659,Moneyball,story oakland athletics general manager billy beane successful attempt put together baseball team budget employ computer generate analysis draft players,Drama
1660,Fences,pittsburgh frustrate african american father struggle constraints poverty racism inner demons try raise family,Drama
1661,Case 39,many years social worker emily jenkins believe see meet year old lilith girl cruel parent emily worst fear confirm parent try harm child emily assume custody lilith look foster family however emily soon find dark force surround seemingly innocent girl try protect lilith horrors encounter,Horror
1662,Scream 2,two years terrify events occur woodsboro sidney attend windsor college cincinnati gale weather best sell book sidney life make major motion picture two college students kill theatre watch new film stab sidney know deep history repeat,Horror
1663,Rough Night,five best friends college reunite years later wild bachelorette weekend miami hard party take hilariously dark turn accidentally kill male stripper amidst craziness try cover ultimately bring closer together matter,Drama
1664,You've Got Mail,book superstore magnate joe fox independent book shop owner kathleen kelly fall love anonymity internet oth blissfully unaware try put business,Comedy
1665,Sink or Swim,year old bertrand suffer depression last two years barely able keep head water despite medication gulp day every day wife encouragement unable find mean life curiously end find sense purpose swim pool join male synchronise swim team,Comedy
1666,Bedazzled,elliot richardson suicidal techno geek give seven wish turn life around meet seductive satan catch soul wish include foot basketball star rock star hamburger could expect devil must put little twist fantasy,Fantasy
1667,Battle: Los Angeles,earth attack unknown force people everywhere watch world great cities fall los angeles become last stand mankind battle one expect marine staff sergeant new platoon draw line sand take enemy unlike ever encounter,Action
1668,Operation Finale,team israeli secret agents deploy find adolf eichmann infamous nazi architect holocaust supposedly hide argentina get israel judge,Drama
1669,Changeling,christine collins overjoy kidnap son bring back home christine suspect boy return child police captain commit asylum,Crime
1670,Boyhood,film tell story divorce couple try raise young son story follow boy twelve years first grade age grade age examine relationship parent grow,Drama
1671,Match Point,match point woody allen satire british high society ambition young tennis instructor enter yet must decide two women one assure place high society would bring far palm start sweat dark psychological match head begin,Drama
1672,Breaking In,shaun russell take son daughter weekend getaway late father seclude high tech vacation home countryside family soon get unwelcome surprise four men break house find hide money manage escape shaun must figure way turn table desperate thieve save captive children,Thriller
1673,Upside Down,alternate universe twin worlds opposite gravities young man battle interplanetary prejudice laws physics quest reunite long lose girl dream visually stun romantic adventure pose question love stronger gravity,Romance
1674,The Ten Commandments,escape death hebrew infant raise royal household become prince upon discovery true heritage moses embark personal quest reclaim destiny leader liberator hebrew people,Drama
1675,Angel Heart,private detective harry angel order mysterious louis cyphre go mission find miss person routine failure soon lead bloody spar go supernatural journey soul,Horror
1676,The Grey,oil drill team struggle survive plane crash strand wilds alaska hunt pack wolves see intruders,Drama
1677,Into the Blue,take friends extreme sport adventure last thing jar sam expect see shark infest water legendary pirate ship rumor contain millions dollars gold good fortune short live ruthless gang criminals get word uncover,Action
1678,Legion,god lose faith humankind send legion angels bring apocalypse humanity hope survival lie group strangers trap way desert diner archangel michael,Horror
1679,Anchorman: The Legend of Ron Burgundy,san diego super sexist anchorman ron burgundy top dog local tv change ambitious reporter veronica corningstone arrive new employee station,Comedy
1680,Friday the 13th,ignore warn locals group teenage camp counselors take job reopen camp crystal lake friday less raise ire jason voorhees mask homicidal maniac,Horror
1681,Battle Royale II: Requiem,three years events original battle royale shuya nanahara internationally know terrorist determine bring government terrorist group wild seven stag attack level several build tokyo christmas day kill people order government study benefit teamwork new students work pair collar electronically link one kill die well must kill nanahara three days die,Action
1682,The Human Centipede 3 (Final Sequence),take inspiration human centipede film warden notorious trouble prison look create person human centipede solution problems,Horror
1683,Traffic,exploration unite state america war drug multiple perspectives new head office national drug control policy war become personal discover well educate daughter abuse cocaine within comfortable suburban home mexico flaw noble policeman agree testify powerful general league cartel san diego drug kingpin shelter trophy wife must learn husband ruthless business arrest endanger luxurious lifestyle,Thriller
1684,The Next Three Days,marry couple life turn upside wife accuse murder lara brennan arrest murder boss argument seem see leave scene crime fingerprint murder weapon husband john would spend next years try get release evidence negate evidence strain separate family especially son get john decide break lot research find way,Romance
1685,101 Dalmatians,live action adaptation disney classic litter dalmatian puppies abduct minions cruella de vil parent must find use diabolical fashion statement,Comedy
1686,Lawrence of Arabia,story british officer lawrence mission aid arab tribes revolt ottoman empire first world war lawrence become flamboyant messianic figure cause arab unity psychological instability threaten undermine achievements,Adventure
1687,Galveston,violent encounter roy find rocky see something eye prompt fateful decision take flee galveston action ill advise inescapable,Drama
1688,In Her Shoes,irresponsible party girl maggie cameron diaz kick father ken howard stepmother candice azzara home live free take hard work sister philadelphia lawyer rise toni collette maggie disruptive ways ruin sister love life rise turn well grandmother never know exist come live sisters face complicate truths family,Comedy
1689,The Titan,bleak future earth soldier endure radical genetic transformation save humanity wife fear become creature man,Science Fiction
1690,The Little Mermaid,young reporter niece discover beautiful enchant creature believe real little mermaid,Animation
1691,Annie,annie young happy foster kid also tough enough make way streets new york originally leave parent baby promise back someday hard knock life ever since mean foster mom miss hannigan everything change hard nose tycoon new york mayoral candidate stacksedvised brilliant vp shrewd scheme campaign advisor akes thinly veil campaign move take stack believe guardian angel annie self assure nature bright sun come tomorrow outlook life might mean way around,Comedy
1692,The Polar Express,doubt young boy take extraordinary train ride north pole embark journey self discovery show wonder life never fade believe,Adventure
1693,Horton Hears a Who!,one day horton elephant hear cry help come speck dust even though see anyone speck decide help turn speck dust home whos live city whoville horton agree help protect whos home,Animation
1694,Mad Max Beyond Thunderdome,mad max become pawn decadent oasis technological society exile become deliverer colony children,Action
1695,Blue Jasmine,jasmine french use top heap new york socialite return estrange sister san francisco utterly ruin jasmine struggle haunt memories privilege past bear dark realities ignore try recover present unfortunately prove lose battle jasmine narcissistic hangups consequences begin overwhelm old pretensions new deceits begin foul everyone live especially,Comedy
1696,Duck Duck Goose,ground injury high fly bachelor saddle two wide eye orphan come face face dangers beauty outside world,Animation
1697,The Land Before Time: The Great Valley Adventure,search adventure safe peaceful valley five dinosaur friends make hideaway spot two thieve action steal egg one brood chase manage recover egg without parent notice process accidentally create open valley allow two dread sharptooths everyone must fight together preserve peaceful way life write cynan rees,Animation
1698,Vampire Academy,rise rebellious half vampire half human guardian train best friend lissa mortal royal vampire princess run capture return st vladamirs academy place believe live may jeopardy rise sacrifice everything protect lissa intend exploit within academy wall strigoi immortal evil vampires hunt kind outside sanctuary,Comedy
1699,Young Frankenstein,young neurosurgeon inherit castle grandfather famous dr victor von frankenstein castle find funny hunchback pretty lab assistant elderly housekeeper young frankenstein believe work grandfather delusional discover book mad doctor describe reanimation experiment suddenly change mind,Comedy
1700,Cleopatra,determine hold throne cleopatra seduce roman emperor julius caesar caesar murder redirect attentions general marc antony vow take power ut caesar successor plan,Drama
1701,Outbreak,deadly airborne virus find way usa start kill people epidemic rate col sam daniels job stop virus spread small town must quarantine prevent reaction white house,Action
1702,Orphan,marry couple rocky past adopt year old esther fill void create recently stillborn baby however esther quite seem,Horror
1703,The Pelican Brief,two supreme court justices assassinate one lone law student stumble upon truth investigative journalist want story everybody else want dead,Drama
1704,Donnie Brasco,fbi undercover agent infilitrates mob find identify mafia life expense regular one,Crime
1705,Miller's Crossing,set political boss advisor part ways fall woman,Drama
1706,Hostage,mafia accountant take hostage beat police officer wrack guilt prior stint negotiator must negotiate standoff even family hold captive mob,Mystery
1707,Anaconda,national geographic film crew take hostage insane hunter take along quest capture world largest deadliest snake,Adventure
1708,Sinister,find footage help true crime novelist realize family murder new home though discoveries put entire family path supernatural entity,Horror
1709,The Sword in the Stone,wart young boy aspire knight squire hunt trip fall merlin powerful amnesiac wizard plan beyond mere squiredom start try give education believe one education one go anywhere needle say quite work way,Animation
1710,Asterix at the Olympic Games,asterix obelix win olympic game order help friend alafolix marry princess irina portray supermodel vanessa hessler brutus poelvoorde use every trick book team win game get rid father julius caesar alain delon process,Fantasy
1711,The Prince of Egypt,extraordinary tale two brothers name moses ram one bear royal blood one orphan secret past grow best friends share strong bond free spirit youth good natured rivalry truth ultimately set odds one become ruler powerful empire earth choose leader people final confrontation forever change live world,Adventure
1712,Get Hard,obscenely rich hedge fund manager jam convict fraud sentence stretch san quentin judge give one month get affairs order know survive minutes prison jam desperately turn darnell black businessman never even park ticket help darnell put jam wringer learn wrong many things include,Comedy
1713,Species,search extra terrestrial intelligence project receive transmission detail alien dna structure along instructions splice human dna result sil sensual deadly creature change beautiful woman armour plat kill machine blink eye,Science Fiction
1714,Dragon Ball Z: Dead Zone,gohan kidnap make matter worse evil garlic jr gather dragonballs wish immortality garlic jr able take earth order gain revenge death father goku rush save gohan arrive fortress garlic jr summon eternal dragon krillin piccolo try help goku combine power,Animation
1715,The House of Us,,Family
1716,There Will Be Blood,ruthless silver miner turn oil prospector daniel plainview move oil rich california use adopt son project trustworthy family man image plainview con local landowners sell valuable properties pittance however local preacher eli sunday suspect plainviews motives intentions start slow burn feud threaten live,Drama
1717,Hot Tub Time Machine,malfunction time machine ski resort take man back two friends nephew must relive fateful night change anything make sure nephew bear,Science Fiction
1718,The Adjustment Bureau,man glimpse future fate plan choose fight destiny battle powerful adjustment bureau across streets new york risk destine greatness woman ever love,Science Fiction
1719,The New Adventures of Aladdin,pair losers work department store plan rob place close bunch kid show beg story men launch improvise version aladdin,Comedy
1720,Cloud Atlas,set six nest stories span time century distant post apocalyptic future cloud atlas explore action consequences individual live impact one another throughout past present future action mystery romance weave story one soul shape killer hero single act kindness ripple across centuries inspire revolution distant future base award win novel david mitchell direct tom tykwer wachowskis,Drama
1721,Sunset Boulevard,hack screenwriter write screenplay former silent film star fade hollywood obscurity,Drama
1722,The Best Offer,virgil oldman world renowned antique expert auctioneer eccentric genius lead solitary life go extreme lengths keep distance messiness human relationships appoint beautiful emotionally damage claire oversee valuation sale family priceless art collection virgil allow form attachment soon engulf passion rock bland existence core,Drama
1723,The Captive,eight years disappearance cassandra disturb incidents seem indicate still alive police parent cassandra try unravel mystery disappearance,Drama
1724,Unstoppable,runaway train transport deadly toxic chemicals barrel stanton pennsylvania prove unstoppable veteran engineer young conductor risk live try stop switch engine,Action
1725,The Last Summer,stand precipice adulthood group friends navigate new relationships reexamine others final summer college,Comedy
1726,Lincoln,reveal story us president tumultuous final months office nation divide war strong wind change lincoln pursue course action design end war unite country abolish slavery moral courage fierce determination succeed choices critical moment change fate generations come,History
1727,G.I. Joe: The Rise of Cobra,egyptian desert deep polar ice cap elite joe team use latest next generation spy military equipment fight corrupt arm dealer destro grow threat mysterious cobra organization prevent plunge world chaos,Adventure
1728,Pineapple Express,stoner dealer force go run police pothead witness cop commit murder,Action
1729,Anchorman 2: The Legend Continues,behind san diego top rat newsman ron burgundy return take new york first hour news channel storm,Comedy
1730,Star Trek: Nemesis,en route honeymoon william riker deanna troi home planet betazed captain jean luc picard crew enterprise receive word starfleet coup result installation new romulan political leader shinzon claim seek peace human back unite federation planets enemy territory captain crew make startle discovery shinzon human slave romulan sister planet remus secret shock relationship picard,Science Fiction
1731,Turbo,tale ordinary garden snail dream win indy,Animation
1732,Quand on crie au loup,,Comedy
1733,Brooklyn,ireland new york young ellis lacey choose two men two countries,Drama
1734,Melancholia,two sisters find already strain relationship challenge mysterious new planet threaten collide earth,Drama
1735,The Vow,happy young marry couple paige leo well happy car accident put paige life threaten coma upon awaken lose previous five years memories include beloved leo wed confuse relationship parent end relationship ex fiance despite complications leo endeavor win heart rebuild marriage,Drama
1736,Fantastic Mr. Fox,fantastic mr fox bore current life plan heist three local farmers farmers tire share chickens sly fox seek revenge family,Adventure
1737,In the Realm of the Senses,base true story set pre war japan man one servants begin torrid affair desire become sexual obsession strong intensify ardor forsake even life,Documentary
1738,Hostiles,legendary native american hat army captain near retirement give one last assignment escort cheyenne chief family dangerous territory back montana reservation,Drama
1739,A Goofy Movie,though goofy always mean well amiable cluelessness klutzy pratfalls regularly embarrass awkward adolescent son max max lighthearted prank high school principal finally get longtime crush roxanne notice ask date max trouble school convince goofy boy need bond cross country fish trip like one take dad max age throw kink son plan impress roxanne,Romance
1740,Asterix & Obelix: Mission Cleopatra,egyptian queen cleopatra bet roman emperor julius caesar people still great even time pharaohs long pass vow logic build new palace caesar within three months since architects either busy otherwise conservative style ambivalent honor fall edifis build palace cover gold fate eat crocodiles edifis call upon old friend help fabulous druid getafix gaul brew fantastic potion give supernatural strength order help protect old druid asterix obelix accompany journey egypt julius caesar get wind project succeed build site attack troop order win bet lose face like local pirate count asterix obelix,Family
1741,Wildling,young woman hold captivity discover realities truth lie outside world,Fantasy
1742,The Blind Side,story michael oher homeless traumatize boy become american football player first round nfl draft pick help care woman family,Drama
1743,Meet the Robinsons,animate adventure brilliant preteen inventor lewis create memory scanner retrieve earliest recollections find mother give adoption villainous bowler hat guy steal machine lewis ready give quest mysterious wilbur robinson show scene whisk lewis future find scanner mom,Animation
1744,The Wind Rises,lifelong love flight inspire japanese aviation engineer jiro horikoshi whose storied career include creation world war ii fighter plane,Animation
1745,Apocalypto,set mayan civilization man idyllic presence brutally disrupt violent invade force take perilous journey world rule fear oppression harrow end await twist fate spur power love woman family make desperate break return home ultimately save way life,Action
1746,Along Came Polly,reuben feffer guy spend entire life play safe polly prince irresistible free spirit live thrill moment two comically mismatch souls collide reuben world turn upside make uproarious attempt change life middle road totally,Comedy
1747,The Transporter Refueled,fast pace action movie set criminal underworld france frank martin know transporter best driver mercenary money buy installment meet anna attempt take group ruthless russian human traffickers also kidnap frank father,Thriller
1748,Metropolis,futuristic city sharply divide work class city planners son city mastermind fall love work class prophet predict come savior mediate differences,Drama
1749,Daddy's Home 2,brad dusty must deal intrusive father holiday,Comedy
1750,Movie 43,series interconnect short film follow wash producer pitch insane story line feature biggest star hollywood,Comedy
1751,Flight,commercial airline pilot whip whitaker problem drug alcohol though far manage complete flight safely luck run disastrous mechanical malfunction send plane hurtle toward grind whip pull miraculous crash land result six live lose shake core whip vow get sober crash investigation expose addiction find even worse situation,Drama
1752,The Bourne Legacy,new cia operative aaron cross experience life death stake trigger previous action jason bourne,Action
1753,Police Story 3: Super Cop,hong kong detective team female red chinese counterpart stop chinese drug czar,Action
1754,Man on Fire,jade ex cia operative john creasy reluctantly accept job bodyguard year old girl mexico city clash first eventually bond kidnap consume fury stop nothing save life,Action
1755,30 Days of Night,story isolate alaskan town plunge darkness month year sun sink horizon last ray light fade town attack bloodthirsty gang vampires bend uninterrupted orgy destruction small town husband wife sheriff team stand survivors certain destruction,Horror
1756,Peter Pan,stifle edwardian london wendy darling mesmerize brothers every night bedtime tales swordplay swashbuckling fearsome captain hook children become heroes even greater story peter pan fly nursery one night lead moonlit rooftops galaxy star lush jungles neverland,Animation
1757,Wayne's World,sleazy tv exec offer wayne garth fat contract tape late night public access show network believe good fortune soon discover road basement big time gnarly one fraught danger temptation ragin party opportunities,Music
1758,Matriarch,pregnant woman husband take farmer wife crash car scottish countryside inside realize host daughter miss child news years earlier things take sinister twist farmer wife inform couple intend keep baby bear,Thriller
1759,Lost Highway,torment jazz musician find lose enigmatic story involve murder surveillance gangsters doppelgangers impossible transformation inside prison cell,Drama
1760,Accident Man,mike fallon accident man stone cold killer love one murder crew fallon force avenge one person actually mean something,Action
1761,Contraband,brother law run afoul drug lord family man chris farraday turn skill abandon long ago smuggle repay debt job go wrong farraday find want cop crook killers alike,Thriller
1762,A Walk to Remember,popular restless landon carter force participate school drama production fall love jamie sullivan daughter town minister jamie list life also big secret must keep landon,Drama
1763,Twister,tv weatherman bill harding try get tornado hunter wife jo sign divorce paper marry girlfriend melissa mother nature form series intense storm sweep across oklahoma plan soon three join team stormchasers attempt insert revolutionary measure device heart several extremely violent tornados,Action
1764,Awakenings,dr malcolm sayer shy research physician use experimental drug awaken catatonic victims rare disease leonard first patient receive controversial treatment awaken fill awe enthusiasm prove rebirth sayer exuberant patient reveal life simple unutterably sweet pleasures introvert doctor,Drama
1765,Poltergeist,legendary filmmaker sam raimi director gil kenan reimagine contemporize classic tale family whose suburban home invade angry spirit terrify apparitions escalate attack take youngest daughter family must come together rescue,Horror
1766,Never Say Never Again,jam bond return secret agent one time battle evil organization spectre bond must defeat largo steal two atomic warheads nuclear blackmail bond ally largo girlfriend willowy domino fall bond seek revenge last time sean connery majesty secret agent make outside traditional broccoli production environment due separate right obtain specific ian fleming story,Adventure
1767,Bond: Kizuna,rookie detective friend brutally murder japanese mafia must revenge bring justice world assassin,Action
1768,Stardust,countryside town border magical land young man make promise beloved retrieve fall star venture magical realm journey take world beyond wildest dream reveal true identity,Adventure
1769,The Graduate,benjamin recent college graduate worry future find love triangle older woman daughter,Comedy
1770,A Cinderella Story: If the Shoe Fits,contemporary musical version classic cinderella story servant step daughter hope compete musical competition famous pop star,Comedy
1771,Maid in Manhattan,marisa ventura struggle single mom work posh manhattan hotel dream better life young son one fateful day hotel guest senatorial candidate christopher marshall meet marisa mistake wealthy socialite enchant even together two fall madly love marisa true identity reveal issue class social status threaten separate two people different worlds overcome differences live happily ever,Comedy
1772,Marvel One-Shot: The Consultant,agent coulson inform agent sitwell world security council wish emil blonsky release prison join avengers initiative nick fury want release blonsky two agents decide send patsy sabotage meet,Adventure
1773,Species III,deliver child ambulance alien eve kill half breed fortunately dr abbot scoop baby alien escape time baby grow gorgeous blonde name sara begin quest find worthy mate sara also savage leave trail deaths wake carnage make chemistry student dean question whether help race,Science Fiction
1774,Speed 2: Cruise Control,sandra bullock jason patric star young couple whose dream cruise turn terror lunatic computer genius willem dafoe set new course destruction,Action
1775,Suicide Squad: Hell to Pay,task force target powerful mystical object risk live steal,Action
1776,Reprisal,jacob bank manager haunt violent heist take life coworker team ex cop neighbor jam bring assailant two men work together figure thief next move gabriel highly train criminal one step ahead gabriel kidnap jacob wife daughter jacob barrel path bloodshed initiate explosive counterattack bring three men break point,Action
1777,Relativity,ever experience deja vu ever meet person think already know nora aron love first sight meet subway rainy day encounter pure coincidence say nore predestine say aron,Drama
1778,Passengers,spacecraft travel distant colony planet transport thousands people malfunction sleep chamber result two passengers awaken years early,Drama
1779,"I, Frankenstein",years shock creation dr frankenstein creature adam still walk earth find middle war fate humanity adam discover hold key could destroy humankind,Horror
1780,16 Blocks,age cop assign ordinary task escort fast talk witness police custody courthouse find run gauntlet force try prevent get,Action
1781,Becoming Jane,biographical portrait pre fame jane austen romance young irishman,Drama
1782,Alvin and the Chipmunks: The Squeakquel,pop sensations alvin simon theodore end care dave seville twenty something nephew toby boys must put aside music super stardom return school task save school music program win prize battle band chipmunks unexpectedly meet match three sing chipmunks know chipettes brittany eleanor jeanette romantic musical spark ignite chipmunks chipettes square,Comedy
1783,Crimson Peak,aftermath family tragedy aspire author tear love childhood friend temptation mysterious outsider try escape ghost past sweep away house breathe bleed remember,Drama
1784,"Batman: The Dark Knight Returns, Part 1",batman see ten years new breed criminal ravage gotham city force year old bruce wayne back cape cowl still take fight crime new era,Action
1785,Sinbad: Legend of the Seven Seas,sailor legend frame goddess eris theft book peace must travel realm end world retrieve save life childhood friend prince proteus,Family
1786,Evil Dead II,ash williams girlfriend linda find log cabin woods voice record archeologist record recite ancient chant book dead play record evil power unleash take linda body,Horror
1787,Curse of Chucky,pass mother young woman wheelchair since birth force deal sister brother law niece nanny say goodbyes mother people start turn dead nica discover culprit might strange doll receive days earlier,Horror
1788,Victor Frankenstein,eccentric scientist victor von frankenstein create grotesque creature unorthodox scientific experiment,Drama
1789," he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet.""","naturally beautiful katie settle new york like many young women try make model start innocent simple photo shoot soon turn something disturbingly unthinkable rap torture kidnap foreign country jessica bury alive leave die odds manage escape severely injure tap darkest place human psyche survive exact revenge spit grave ,horror,when cole stay past bedtime",Thriller
1791,D.E.B.S.,star team teenage crime fighters fall allure villainess must bring justice,Action
1792,Foxcatcher,greatest olympic wrestle champion brother team join team foxcatcher lead sponsor john du pont train game seoul union lead unlikely circumstances,Drama
1793,JFK,new orleans district attorney jim garrison discover kennedy assassination official story,Drama
1794,Wildlife,year old joe child jeanette jerry housewife golf pro small town montana nearby uncontrolled forest fire rag close canadian border jerry lose job sense purpose decide join cause fight fire leave wife son fend,Drama
1795,Spy Kids,carmen juni think parent bore little know day gregorio ingrid cortez top secret agents respective countries give life raise children disappearances several old colleagues force cortez return retirement count carmen juni join family business,Action
1796,The Last Airbender,story follow adventure aang young successor long line avatars must put childhood ways aside stop fire nation enslave water earth air nations,Action
